spotify_id,name,artists,popularity,is_explicit,duration,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
618OKP1lBkNJL8uZdNSvQE,MANIAC,VIVIZ,82,FALSE,195.52,The 4th Mini Album 'VERSUS',2023/11/2,0.753,0.579,9,-4.514,1,0.071,0.19,0,0.0931,0.818,114.961,4
0ZPjVmof45INEERgYfadtv,Chasing That Feeling,TOMORROW X TOGETHER,81,FALSE,182.67,The Name Chapter: FREEFALL,2023/10/13,0.69,0.842,10,-4.288,0,0.0739,0.0153,0,0.0639,0.626,141.994,4
44MuEHdlociG8KjhPhOVw5,Padam Padam,Kylie Minogue,74,FALSE,166.266,Tension (Deluxe),2023/9/22,0.744,0.621,5,-7.931,1,0.242,0.216,0.00119,0.104,0.701,128.105,4
1yFeci9dMqBobDPGJroWAZ,odoriko,Vaundy,60,FALSE,230.109,odoriko,2021/11/17,0.718,0.476,7,-11.469,1,0.0623,0.853,0.786,0.105,0.684,157.034,4
2mvabkN1i2gLnGAPUVdwek,Christmas Tree Farm,Taylor Swift,87,FALSE,228.026,Christmas Tree Farm,2019/12/6,0.598,0.68,7,-4.505,1,0.0331,0.06,0,0.324,0.437,134.002,4
3HAkoNmThZhyFejhpRXXYI,예뻤어,DAY6,49,FALSE,283.16,SUNRISE,2017/6/7,0.46,0.615,5,-3.472,0,0.0331,0.0633,0,0.109,0.414,167.927,4
086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,Arctic Monkeys,90,FALSE,161.123,AM,2013/9/9,0.691,0.631,2,-6.478,1,0.0368,0.0483,0.0000113,0.104,0.8,92.004,4
55h7vJchibLdUkxdlX3fK7,Treasure,Bruno Mars,79,TRUE,178.56,Unorthodox Jukebox,2012/12/7,0.874,0.692,5,-5.28,0,0.0431,0.0412,0.0000724,0.324,0.937,116.017,4
030OCtLMrljNhp8OWHBWW3,Hey Daddy (Daddy's Home),USHER,84,FALSE,224.093,Raymond v Raymond (Expanded Edition),2010/3/30,0.59,0.698,11,-4.262,1,0.0286,0.000176,0,0.107,0.352,95.975,4
3GBApU0NuzH4hKZq4NOSdA,What You Know,Two Door Cinema Club,72,FALSE,191.706,Tourist History,2010/2/17,0.563,0.739,6,-4.239,0,0.0416,0.00073,0.0000145,0.0822,0.775,139,4
